page	ligne	col	lu	corrige	vedette lue	vedette retenue
302	12	2	n	m	kmnfluanta	kmmfluanta
302	36	1	m	o	kmnglomerato	konglomerato
302	38	1	m	o	kmngro	kongro
302	40	5	a	s	kongragaciono	kongrsgaciono
303	2	4	o	c	konio	konic
303	44	8	v	k	konjuntivo	konjuntiko
304	34	1	m	o	kmnkreta	konkreta
304	41	5	b	h	konkubinato	konkuhinato
305	13	3	q	o	konquasaota	konouasaota
308	5	2	n	o	kontaktar	kootaktar
308	10	2	r	n	kortemplar	kontemplar
308	16	0	l	k	lontenta	kontenta
308	19	1	c	o	kcntestar	kontestar
310	6	2	r	m	kmrturo	kmmtnro
310	6	4	u	n	kmrturo	kmmtnro
310	9	1	h	m	khmtnzar	kmmtnzar
310	13	2	r	n	korvalecar	konvalecar
310	21	2	r	n	korvenar	konvenar
310	40	5	o	r	konveosar	konversar
312	10	0	l	k	lopulo	kopulo
312	13	5	a	s	kopulacar	kopulscar
312	42	4	o	c	kordo	kordc
313	8	4	o	c	koreo	korec
314	7	2	m	u	kmmko	kmuko
314	11	3	s	a	korsorano	koraorano
314	16	3	n	h	korno	korho
315	20	5	a	o	korolario	korolorio
316	10	4	o	E	kmrto	kmrtE
316	46	4	o	c	kosmoso	kosmcso
317	21	3	o	c	koto	kotc
318	6	0	k	l	kmvrar	lmvrar
318	41	4	p	n	krampo	kramno
322	10	1	y	r	kyino	krino
322	23	0	l	k	lmiplo	kmiplo
323	7	5	a	s	kristaloido	kristsloido
323	17	2	i	t	kritikar	krttikar
324	6	1	y	r	kyomatofila	kromatofila
324	13	2	c	o	krcmatolizo	kromatolizo
324	21	2	c	o	krcmosomo	kromosomo
324	24	2	c	o	krcmotipar	kromotipar
324	30	3	n	m	krono	kromo
326	13	3	s	m	kruso	krumo
326	34	5	a	s	krustacei	krustscei
326	44	3	o	c	kubo	kubc
328	2	0	l	d	lmliso	dmliso
328	12	0	k	E	kulminar	Eulminar
328	16	0	l	k	lmlpar	kmlpar
329	9	4	o	c	kupeo	kupec
329	20	4	o	a	kuplor	kuplar
330	5	3	s	a	kmrsso	kmraso
330	18	0	l	k	lmrear	kmrear
